frame,number
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,27
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,2
300,7
301,8
302,2
303,1
304,5
305,1
306,2
307,2
308,3
309,1
310,0
311,1
312,1
313,1
314,2
315,3
316,2
317,0
318,1
319,2
320,3
321,4
322,4
323,4
324,2
325,3
326,2
327,0
328,1
329,4
330,2
331,3
332,2
333,3
334,3
335,0
336,0
337,7
338,4
339,1
340,0
341,1
342,0
343,0
344,8
345,1
346,17
347,1
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,2
371,1
372,0
373,0
374,0
375,0
376,10
377,12
378,0
379,0
380,0
381,0
382,0
383,0
384,12
385,8
386,10
387,12
388,12
389,13
390,12
391,11
392,12
393,2
394,1
395,1
396,13
397,9
398,8
399,1
400,1
401,1
402,13
403,14
404,1
405,7
406,18
407,0
408,2
409,1
410,1
411,0
412,7
413,1
414,0
415,3
416,0
417,0
418,0
419,0
420,1
421,4
422,0
423,1
424,1
425,8
426,3
427,1
428,1
429,0
430,4
431,0
432,4
433,4
434,3
435,3
436,5
437,5
438,3
439,2
440,10
441,0
442,8
443,1
444,0
445,0
446,0
447,16
448,6
449,6
450,1
451,7
452,3
453,15
454,0
455,11
456,20
457,2
458,0
459,10
460,0
461,0
462,3
463,4
464,4
465,0
466,6
467,9
468,6
469,0
470,4
471,2
472,0
473,0
474,1
475,0
476,1
477,2
478,1
479,10
480,1
481,9
482,1
483,3
484,0
485,2
486,1
487,0
488,2
489,2
490,4
491,2
492,12
493,1
494,0
495,0
496,2
497,0
498,0
499,2
500,4
501,0
502,1
503,3
504,3
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,15
520,4
521,3
522,0
523,0
524,3
525,0
526,0
527,4
528,0
529,0
530,0
531,0
532,0
